,cap,nr,day,,,
,7050050000,1211310000,1,,,
,7277480000,1261876666.66667,2,,,
,8833520000,1310522000,3,,,
,8669910000,1476174285.71429,4,,,
,8942950000,1433220000,5,,,
,8569060000,1383085454.54545,6,,,
,8341490000,1305393769.23077,7,,,
,8337180000,1245624400,8,,,
,8213570000,1230616866.66667,9,,,
,8184930000,1218864200,10,,,
,8120390000,1218750200,11,,,
,8322380000,1169398533.33333,12,,,
,8316930000,1184196533.33333,13,,,
,8466470000,1195934533.33333,14,,,
,8181520000,1204464533.33333,15,,,
,8238110000,1239071866.66667,16,,,
,8902240000,1299962533.33333,17,,,
,11856600000,1413923866.66667,18,,,
,11705700000,1402559600,19,,,
,14522100000,1423008000,20,,,
,15688000000,1432918000,21,,,
,16779700000,1473646733.33333,22,,,
,17446600000,1565000200,23,,,
,16107000000,1694382400,24,,,
,14696000000,1697627733.33333,25,,,
,14608600000,1668717733.33333,26,,,
,15654600000,1695878066.66667,27,,,
,18004700000,1714100733.33333,28,,,
,21321900000,1693700066.66667,29,,,
,21264800000,1642434733.33333,30,,,
,20479000000,1605681400,31,,,
,20593500000,1557404066.66667,32,,,
,20659800000,1431240866.66667,33,,,
,22615800000,1462682466.66667,34,,,
,22930400000,1590784133.33333,35,,,
,24382200000,1634721466.66667,36,,,
,23810900000,1696149466.66667,37,,,
,24165000000,1680880133.33333,38,,,
,26043700000,1620573466.66667,39,,,
,31296800000,1659176133.33333,40,,,
,31525300000,1720055466.66667,41,,,
,36574500000,1752210800,42,,,
,36761600000,1823461466.66667,43,,,
,33158200000,1795893466.66667,44,,,
,33415800000,1894906133.33333,45,,,
,34231300000,1916774800,46,,,
,35133800000,1981616800,47,,,
,34435700000,2080406000,48,,,
,34304000000,2175403333.33333,49,,,
,33310500000,2190420666.66667,50,,,
,31302600000,2172030000,51,,,
,31195900000,2127770666.66667,52,,,
,31681300000,2150783076.92308,53,,,
,30005900000,2223327272.72727,54,,,
,28111200000,2219565555.55556,55,,,
,25309700000,2270682857.14286,56,,,
,27207000000,2374270000,57,,,
,30495300000,2177153333.33333,58,,,
,28161900000,1789920000,59,,,
